"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,location,punct,source,sourcetype,"splunk_server","splunk_server_group","src_ip",status,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,username
"2026-03-01 16:19:00,david,172.16.0.3,failed,Dubai","2026-03-01T16:19:00.000+0100",16,1,19,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 16:19:00",0,david
"2026-03-01 16:11:00,charlie,198.51.100.23,failed,Toronto","2026-03-01T16:11:00.000+0100",16,1,11,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 16:11:00",0,charlie
"2026-03-01 15:50:00,charlie,8.8.8.8,failed,Toronto","2026-03-01T15:50:00.000+0100",15,1,50,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 15:50:00",0,charlie
"2026-03-01 15:40:00,charlie,172.16.0.3,failed,Dubai","2026-03-01T15:40:00.000+0100",15,1,40,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 15:40:00",0,charlie
"2026-03-01 15:35:00,frank,198.51.100.23,failed,London","2026-03-01T15:35:00.000+0100",15,1,35,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 15:35:00",0,frank
"2026-03-01 15:23:00,grace,10.0.0.8,failed,Nairobi","2026-03-01T15:23:00.000+0100",15,1,23,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Nairobi,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.8",failed,,,19,"2026-03-01 15:23:00",0,grace
"2026-03-01 15:19:00,emma,10.0.0.5,failed,Toronto","2026-03-01T15:19:00.000+0100",15,1,19,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 15:19:00",0,emma
"2026-03-01 15:03:00,frank,192.168.1.22,failed,Berlin","2026-03-01T15:03:00.000+0100",15,1,3,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 15:03:00",0,frank
"2026-03-01 15:00:00,emma,10.0.0.8,failed,Toronto","2026-03-01T15:00:00.000+0100",15,1,0,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.8",failed,,,19,"2026-03-01 15:00:00",0,emma
"2026-03-01 14:55:00,bob,10.0.0.5,failed,Berlin","2026-03-01T14:55:00.000+0100",14,1,55,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 14:55:00",0,bob
"2026-03-01 14:45:00,emma,192.168.1.22,failed,Berlin","2026-03-01T14:45:00.000+0100",14,1,45,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 14:45:00",0,emma
"2026-03-01 14:43:00,david,8.8.8.8,failed,Abuja","2026-03-01T14:43:00.000+0100",14,1,43,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 14:43:00",0,david
"2026-03-01 14:39:00,emma,203.0.113.45,failed,Dubai","2026-03-01T14:39:00.000+0100",14,1,39,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 14:39:00",0,emma
"2026-03-01 14:34:00,frank,8.8.8.8,failed,Berlin","2026-03-01T14:34:00.000+0100",14,1,34,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 14:34:00",0,frank
"2026-03-01 14:31:00,frank,10.0.0.8,failed,Berlin","2026-03-01T14:31:00.000+0100",14,1,31,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.8",failed,,,19,"2026-03-01 14:31:00",0,frank
"2026-03-01 14:17:00,grace,203.0.113.45,failed,Toronto","2026-03-01T14:17:00.000+0100",14,1,17,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 14:17:00",0,grace
"2026-03-01 14:12:00,henry,198.51.100.23,failed,Toronto","2026-03-01T14:12:00.000+0100",14,1,12,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 14:12:00",0,henry
"2026-03-01 14:09:00,charlie,192.168.1.22,failed,Berlin","2026-03-01T14:09:00.000+0100",14,1,9,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 14:09:00",0,charlie
"2026-03-01 13:48:00,grace,10.0.0.5,failed,Dubai","2026-03-01T13:48:00.000+0100",13,1,48,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 13:48:00",0,grace
"2026-03-01 13:41:00,alice,172.16.0.3,failed,Toronto","2026-03-01T13:41:00.000+0100",13,1,41,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 13:41:00",0,alice
"2026-03-01 13:37:00,bob,198.51.100.23,failed,Toronto","2026-03-01T13:37:00.000+0100",13,1,37,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 13:37:00",0,bob
"2026-03-01 13:30:00,emma,203.0.113.45,failed,Abuja","2026-03-01T13:30:00.000+0100",13,1,30,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:30:00",0,emma
"2026-03-01 13:29:00,bob,192.168.1.10,failed,New York","2026-03-01T13:29:00.000+0100",13,1,29,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 13:29:00",0,bob
"2026-03-01 13:13:00,henry,10.0.0.5,failed,London","2026-03-01T13:13:00.000+0100",13,1,13,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 13:13:00",0,henry
"2026-03-01 13:11:00,henry,192.168.1.22,failed,Dubai","2026-03-01T13:11:00.000+0100",13,1,11,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 13:11:00",0,henry
"2026-03-01 13:09:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:09:00.000+0100",13,1,9,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:09:00",0,alice
"2026-03-01 13:08:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:08:00.000+0100",13,1,8,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:08:00",0,alice
"2026-03-01 13:07:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:07:00.000+0100",13,1,7,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:07:00",0,alice
"2026-03-01 13:07:00,henry,10.0.0.5,failed,Abuja","2026-03-01T13:07:00.000+0100",13,1,7,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 13:07:00",0,henry
"2026-03-01 13:06:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:06:00.000+0100",13,1,6,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:06:00",0,alice
"2026-03-01 13:05:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:05:00.000+0100",13,1,5,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:05:00",0,alice
"2026-03-01 13:04:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:04:00.000+0100",13,1,4,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:04:00",0,alice
"2026-03-01 13:04:00,henry,198.51.100.23,failed,Berlin","2026-03-01T13:04:00.000+0100",13,1,4,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 13:04:00",0,henry
"2026-03-01 13:03:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:03:00.000+0100",13,1,3,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:03:00",0,alice
"2026-03-01 13:02:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:02:00.000+0100",13,1,2,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:02:00",0,alice
"2026-03-01 13:01:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:01:00.000+0100",13,1,1,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:01:00",0,alice
"2026-03-01 13:00:00,alice,203.0.113.45,failed,Unknown","2026-03-01T13:00:00.000+0100",13,1,0,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Unknown,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 13:00:00",0,alice
"2026-03-01 13:00:00,charlie,172.16.0.3,failed,Abuja","2026-03-01T13:00:00.000+0100",13,1,0,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 13:00:00",0,charlie
"2026-03-01 12:57:00,frank,203.0.113.45,failed,Dubai","2026-03-01T12:57:00.000+0100",12,1,57,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 12:57:00",0,frank
"2026-03-01 12:56:00,charlie,172.16.0.3,failed,Nairobi","2026-03-01T12:56:00.000+0100",12,1,56,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Nairobi,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 12:56:00",0,charlie
"2026-03-01 12:39:00,alice,192.168.1.22,failed,London","2026-03-01T12:39:00.000+0100",12,1,39,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 12:39:00",0,alice
"2026-03-01 12:24:00,charlie,203.0.113.45,failed,New York","2026-03-01T12:24:00.000+0100",12,1,24,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 12:24:00",0,charlie
"2026-03-01 12:20:00,charlie,192.168.1.22,failed,Abuja","2026-03-01T12:20:00.000+0100",12,1,20,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 12:20:00",0,charlie
"2026-03-01 12:15:00,alice,8.8.8.8,failed,Lagos","2026-03-01T12:15:00.000+0100",12,1,15,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Lagos,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 12:15:00",0,alice
"2026-03-01 12:08:00,emma,10.0.0.8,failed,Dubai","2026-03-01T12:08:00.000+0100",12,1,8,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.8",failed,,,19,"2026-03-01 12:08:00",0,emma
"2026-03-01 11:52:00,charlie,192.168.1.10,failed,Dubai","2026-03-01T11:52:00.000+0100",11,1,52,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 11:52:00",0,charlie
"2026-03-01 11:41:00,grace,198.51.100.23,failed,Nairobi","2026-03-01T11:41:00.000+0100",11,1,41,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Nairobi,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 11:41:00",0,grace
"2026-03-01 11:31:00,grace,10.0.0.5,failed,Lagos","2026-03-01T11:31:00.000+0100",11,1,31,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Lagos,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 11:31:00",0,grace
"2026-03-01 11:29:00,david,192.168.1.22,failed,Toronto","2026-03-01T11:29:00.000+0100",11,1,29,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 11:29:00",0,david
"2026-03-01 11:20:00,henry,10.0.0.8,failed,New York","2026-03-01T11:20:00.000+0100",11,1,20,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.8",failed,,,19,"2026-03-01 11:20:00",0,henry
"2026-03-01 11:17:00,henry,172.16.0.3,failed,New York","2026-03-01T11:17:00.000+0100",11,1,17,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 11:17:00",0,henry
"2026-03-01 11:02:00,henry,198.51.100.23,failed,New York","2026-03-01T11:02:00.000+0100",11,1,2,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 11:02:00",0,henry
"2026-03-01 10:58:00,emma,8.8.8.8,failed,Abuja","2026-03-01T10:58:00.000+0100",10,1,58,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 10:58:00",0,emma
"2026-03-01 10:56:00,emma,172.16.0.3,failed,New York","2026-03-01T10:56:00.000+0100",10,1,56,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 10:56:00",0,emma
"2026-03-01 10:49:00,david,8.8.8.8,failed,London","2026-03-01T10:49:00.000+0100",10,1,49,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 10:49:00",0,david
"2026-03-01 10:37:00,alice,192.168.1.10,failed,Berlin","2026-03-01T10:37:00.000+0100",10,1,37,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 10:37:00",0,alice
"2026-03-01 10:34:00,emma,192.168.1.22,failed,Abuja","2026-03-01T10:34:00.000+0100",10,1,34,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 10:34:00",0,emma
"2026-03-01 10:25:00,bob,8.8.8.8,failed,New York","2026-03-01T10:25:00.000+0100",10,1,25,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 10:25:00",0,bob
"2026-03-01 10:23:00,henry,8.8.8.8,failed,New York","2026-03-01T10:23:00.000+0100",10,1,23,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 10:23:00",0,henry
"2026-03-01 10:19:00,charlie,192.168.1.10,failed,New York","2026-03-01T10:19:00.000+0100",10,1,19,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 10:19:00",0,charlie
"2026-03-01 10:16:00,charlie,172.16.0.3,failed,Toronto","2026-03-01T10:16:00.000+0100",10,1,16,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 10:16:00",0,charlie
"2026-03-01 10:14:00,emma,172.16.0.3,failed,London","2026-03-01T10:14:00.000+0100",10,1,14,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 10:14:00",0,emma
